unix_ms,pos_x,pos_y,pos_z,forward_x,forward_y,forward_z,vel_x,vel_y,vel_z,leftHandPos_x,leftHandPos_y,leftHandPos_z,leftHandForward_x,leftHandForward_y,leftHandForward_z,leftHandVelocity_x,leftHandVelocity_y,leftHandVelocity_z,rightHandPos_x,rightHandPos_y,rightHandPos_z,rightHandForward_x,rightHandForward_y,rightHandForward_z,rightHandVelocity_x,rightHandVelocity_y,rightHandVelocity_z
1728765909435,4.11646,1.555794,-0.02000928,-0.9960816,0.05010461,0.0728792,-0.4059076,-0.07032752,-0.2942026,2.5,0,0,0,8.74228E-08,1,0,0,0,2.5,0,0,0,0,1,0,0,0
1728765909439,4.11646,1.555794,-0.02000928,-0.9960816,0.05010461,0.0728792,0,0,0,2.5,0,0,0,8.74228E-08,1,0,0,0,2.5,0,0,0,0,1,0,0,0
1728765909443,4.11646,1.555794,-0.02000928,-0.9960816,0.05010461,0.0728792,0,0,0,2.5,0,0,0,8.74228E-08,1,0,0,0,2.5,0,0,0,0,1,0,0,0
1728765909476,4.110044,1.554444,-0.02476013,-0.9964618,0.02775952,0.07933247,-0.4812598,-0.1011997,-0.3563136,2.5,0,0,0,8.74228E-08,1,0,0,0,2.5,0,0,0,0,1,0,0,0
1728765909481,4.110044,1.554444,-0.02476013,-0.9964618,0.02775952,0.07933247,0,0,0,2.5,0,0,0,8.74228E-08,1,0,0,0,2.5,0,0,0,0,1,0,0,0
1728765909485,4.110044,1.554444,-0.02476013,-0.9964618,0.02775952,0.07933247,0,0,0,2.5,0,0,0,8.74228E-08,1,0,0,0,2.5,0,0,0,0,1,0,0,0
1728765909519,4.103068,1.553155,-0.02952325,-0.9963801,0.011858,0.08418173,-0.523138,-0.0967294,-0.3572345,2.5,0,0,0,8.74228E-08,1,0,0,0,2.5,0,0,0,0,1,0,0,0
1728765909523,4.103068,1.553155,-0.02952325,-0.9963801,0.011858,0.08418173,0,0,0,2.5,0,0,0,8.74228E-08,1,0,0,0,2.5,0,0,0,0,1,0,0,0
1728765909526,4.103068,1.553155,-0.02952325,-0.9963801,0.011858,0.08418173,0,0,0,2.5,0,0,0,8.74228E-08,1,0,0,0,2.5,0,0,0,0,1,0,0,0
1728765909560,4.095531,1.551457,-0.03418481,-0.9960106,0.001109732,0.0892297,-0.5653381,-0.1273513,-0.349617,2.5,0,0,0,8.74228E-08,1,0,0,0,2.5,0,0,0,0,1,0,0,0
1728765909565,4.095531,1.551457,-0.03418481,-0.9960106,0.001109732,0.0892297,0,0,0,2.5,0,0,0,8.74228E-08,1,0,0,0,2.5,0,0,0,0,1,0,0,0
1728765909569,4.095531,1.551457,-0.03418481,-0.9960106,0.001109732,0.0892297,0,0,0,2.5,0,0,0,8.74228E-08,1,0,0,0,2.5,0,0,0,0,1,0,0,0
1728765909602,4.08702,1.550027,-0.03796816,-0.995443,-0.002258433,0.09533441,-0.6382942,-0.1072347,-0.2837509,2.5,0,0,0,8.74228E-08,1,0,0,0,2.5,0,0,0,0,1,0,0,0
