,TimeStamp,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,AUX_RIGHT,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,Gyro_X,Gyro_Y,Gyro_Z,HeadBandOn,HSI_TP9,HSI_AF7,HSI_AF8,HSI_TP10,Battery,Elements,unix_ms,rel_unix_ms,trial_ms
61,2024-11-24 12:43:38.841,0.779396943487292,0.9116145204669944,1.291401928558875,1.870220543009762,0.3565913280295037,0.398426158160589,0.8490243424606575,1.731964636338561,0.3199218696066731,0.6498696746041338,0.8181811017113235,1.42596387463475,0.5467511366308926,0.0949519434242906,0.1665449209631785,1.00617648313623,0.6009303798030462,-0.2160042477720295,-0.1194214507661082,0.5057723262610202,846.1538461538462,794.1758241758242,809.8901098901099,712.3809523809524,466.1904761904762,-0.157959,0.084045,1.047302,-2.66922,7.372131,3.237457,1.0,2.0,1.0,1.0,4.0,65.0,,1732470218841,14501,9997
64,2024-11-24 12:43:39.340,0.779396943487292,0.7726301647581005,1.10084847002075,1.870220543009762,0.3565913280295037,0.3876499055656196,0.9434335788306482,1.731964636338561,0.3199218696066731,0.6759291129986694,1.01054866351894,1.42596387463475,0.5467511366308926,0.0995704072044963,0.1662034697737974,1.00617648313623,0.6009303798030462,-0.32462947463069,-0.3016093919055401,0.5057723262610202,791.7582417582418,806.2637362637363,801.025641025641,519.3772893772893,927.1428571428572,-0.204468,0.091919,1.007263,2.781372,1.831818,-1.472931,1.0,2.0,1.0,1.0,4.0,65.0,,1732470219340,15000,10496
66,2024-11-24 12:43:39.840,0.779396943487292,0.8071458684065033,1.184368268662209,1.870220543009762,0.3565913280295037,0.3964293054447962,1.057310966977156,1.731964636338561,0.3199218696066731,0.6658946463392114,1.048625905140529,1.42596387463475,0.5467511366308926,0.0483119504557865,0.2138238059575607,1.00617648313623,0.6009303798030462,-0.2825764135529263,-0.3321370154558578,0.5057723262610202,624.1391941391942,857.8388278388279,817.5457875457876,358.6080586080586,0.0,-0.194397,0.152527,0.880066,1.674805,-2.280426,7.230072,1.0,2.0,1.0,1.0,4.0,65.0,,1732470219840,15500,10996
69,2024-11-24 12:43:40.340,0.779396943487292,0.8832345328761367,1.261422098935669,1.870220543009762,0.3565913280295037,0.4946433878040154,1.133503294811917,1.731964636338561,0.3199218696066731,0.580540629715999,1.048625905140529,1.42596387463475,0.5467511366308926,0.0132945455462399,0.2669594427764759,1.00617648313623,0.6009303798030462,-0.2786812840870067,-0.3421900890888439,0.5057723262610202,698.6813186813187,801.8315018315019,801.8315018315019,740.989010989011,939.6336996336996,-0.214722,0.089294,0.840759,5.024414,2.721558,12.957306,1.0,2.0,1.0,1.0,4.0,65.0,,1732470220340,16000,11496
70,2024-11-24 12:43:40.839,0.779396943487292,1.262021992129531,1.458880845169122,1.870220543009762,0.3565913280295037,0.970266564609058,1.340315941641275,1.731964636338561,0.3199218696066731,0.8029256347594397,1.048625905140529,1.42596387463475,0.5467511366308926,0.0198764095837053,0.329359439135819,1.00617648313623,0.6009303798030462,-0.2660329302127157,-0.5664356406294004,0.5057723262610202,915.8608058608058,801.4285714285714,797.3992673992674,835.6776556776557,1626.630036630037,-0.207642,0.213501,1.00708,4.882355,-2.743988,-3.200073,1.0,2.0,1.0,1.0,4.0,65.0,,1732470220839,16499,11995
73,2024-11-24 12:43:41.339,0.779396943487292,1.329121767770537,1.458880845169122,1.870220543009762,0.3565913280295037,1.004940080988625,1.340315941641275,1.731964636338561,0.3199218696066731,0.8020526593394902,1.048625905140529,1.42596387463475,0.5467511366308926,0.1094997781991808,0.329359439135819,1.00617648313623,0.6009303798030462,-0.2799028513930014,-0.5664356406294004,0.5057723262610202,761.5384615384615,797.3992673992674,802.2344322344322,580.6227106227107,0.0,-0.251343,0.088135,1.083618,3.080444,4.874878,5.039368,1.0,2.0,1.0,1.0,4.0,65.0,,1732470221339,16999,12495
74,2024-11-24 12:43:41.843,0.779396943487292,0.6626691182352774,0.945216849867009,1.870220543009762,0.3565913280295037,0.1503470253696621,0.5865233343978987,1.731964636338561,0.3199218696066731,0.3417801516612821,0.5641103484624395,1.42596387463475,0.5467511366308926,-0.0301978910590089,0.2616620692979742,1.00617648313623,0.6009303798030462,-0.372499555988296,-0.362478358009412,0.5057723262610202,746.2271062271062,797.3992673992674,807.0695970695971,606.4102564102565,893.2967032967033,-0.226746,0.061279,1.023193,4.770203,0.882263,-6.175842,1.0,2.0,1.0,1.0,4.0,65.0,,1732470221843,17503,12999
76,2024-11-24 12:43:42.339,0.779396943487292,0.585767157444582,0.9839196035960006,1.870220543009762,0.3565913280295037,0.1473032940608721,0.7233465879507236,1.731964636338561,0.3199218696066731,0.4223305364278008,0.712593766219232,1.42596387463475,0.5467511366308926,-0.0384651949937692,0.318356789908024,1.00617648313623,0.6009303798030462,-0.3565312264980222,-0.28966497162591,0.5057723262610202,669.6703296703297,796.5934065934066,806.2637362637363,895.7142857142858,0.0,-0.18219,0.202026,0.941345,5.428162,-10.295563,-7.947845,1.0,2.0,1.0,1.0,4.0,65.0,,1732470222339,17999,13495
80,2024-11-24 12:43:42.840,0.779396943487292,0.4228879789300473,1.100716492545786,1.870220543009762,0.3565913280295037,0.0530798008840189,0.8192499055834891,1.731964636338561,0.3199218696066731,0.3837752352228332,0.7306019845538383,1.42596387463475,0.5467511366308926,0.0129595394813195,0.2774409600131381,1.00617648313623,0.6009303798030462,-0.3848589193192372,-0.3255372103764391,0.5057723262610202,680.1465201465202,800.6227106227107,806.2637362637363,964.2124542124542,946.0805860805862,-0.097351,0.060791,0.811035,8.134766,-0.089722,1.024323,1.0,2.0,1.0,1.0,4.0,65.0,,1732470222840,18500,13996
83,2024-11-24 12:43:43.340,0.779396943487292,0.3388744974046702,1.018376319662869,1.870220543009762,0.3565913280295037,0.0176393541408219,0.7327783997019394,1.731964636338561,0.3199218696066731,0.3604672888509659,0.7306019845538383,1.42596387463475,0.5467511366308926,0.07158243465005,0.2128789536351916,1.00617648313623,0.6009303798030462,-0.4294472677704961,-0.3040033539062648,0.5057723262610202,817.948717948718,795.7875457875458,800.2197802197802,1124.175824175824,1626.630036630037,-0.104919,0.242676,1.072754,7.252502,0.388794,-4.059906,1.0,2.0,1.0,1.0,4.0,65.0,,1732470223340,19000,14496
